url,nama,perguruan_tinggi,program_studi,bidang,sinta_score_overall,sinta_score_3yr,affil_score_overall,affil_score_3yr
https://sinta.kemdiktisaintek.go.id/authors/profile/28705,SUYANTO,Universitas Telkom,S3 - Informatika,"Artificial Intelligence, Swarm Intelligence, Machine Leraning, Big Data/Data Mining, Automatic Speech Recognition",4.777,847,210,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6795708,BASIROH,Universitas Islam Batik Surakarta,S1 - Informatika,"Artificial Intelegence, Image Processing, Data Mining Technique",212,70,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6789867,RUDY CHANDRA,Institut Teknologi Del,D3 - Teknologi Informasi,"Computer Science, Artificial Neural Networks, Artificial Intelligence, Decision Support System",295,203,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6803037,IMAM SURI TAULADAN,Universitas Riau,S1 - Teknik Elektro,"Power System, Protection Relay Coordination, Artificial Intelligence, Electrical System Design",56,25,56,25
https://sinta.kemdiktisaintek.go.id/authors/profile/6749606,DARMATASIA,Universitas Islam Negeri Alauddin Makassar,S1 - Teknik Informatika,"Computer Vision, Machine Learning, Artificial Intelligence, Data Science",79,7,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6962334,ZULIAR EFENDI,Politeknik Negeri Bengkalis,D4 - Keamanan Sistem Informasi,"Data Mining, Artificial Intelligence, Machine Learning",38,1,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/153621,KUSRINI,Universitas Amikom Yogyakarta,S3 - Informatika,"Artificial Intelligent, Decision Support System, Data Mining, Database",5.361,1.121,5.367,1.121
https://sinta.kemdiktisaintek.go.id/authors/profile/6178541,STEVEN HUMENA,Universitas Ichsan Gorontalo,S1 - Teknik Elektro,"Economic Power Generation, High Voltage of Engineering, Renewable Energy, Artificial Intelligence, Power System Sta",446,168,448,170
https://sinta.kemdiktisaintek.go.id/authors/profile/6944732,ANGGA ARIAWAN,Universitas Media Nusantara Citra,S1 - Ilmu Komputer,"Artificial Intellegence, Machine Learning, IoT, Robotic, Image Processing",57,14,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6846738,ALBERTUS BAYU AJI PRIYONO,Universitas Gunadarma,S1 - Informatika,artificial intelligence,12,1,12,1
https://sinta.kemdiktisaintek.go.id/authors/profile/5975292,IKHSAN ROMLI,Universitas Pelita Bangsa,S1 - Teknik Industri,"Artificial Intellligence, Optimization, Operation Research, Linear Agebra, Maintenance",576,169,52,9
https://sinta.kemdiktisaintek.go.id/authors/profile/6954871,LUTHFIL KHAIRI,Universitas Andalas,S1 - Informatika,"Data Science, Artificial Intelligence, Data Science, Artificial Intelligence",26,14,26,14
https://sinta.kemdiktisaintek.go.id/authors/profile/6015184,AHMAD QURTHOBI,Universitas Telkom,S1 - Teknik Fisika,"Instrumentation System, Control System, Power Electronics, Artifical Intelligence",679,116,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6006227,SYAHMINAN,Universitas PGRI Kanjuruhan Malang,S1 - Teknik Informatika,kecerdasan buatan,296,42,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6732099,WASUM,Politeknik Kelautan dan Perikanan Bitung,D3 - Mekanisasi Perikanan,"Internet of Things, Kecerdasan Buatan",91,34,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6008568,BUDHI KRISTIANTO,Universitas Kristen Satya Wacana,D3 - Teknik Informatika,"Artificial Intelligence, Internet of Things, Smart System",532,188,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/5984358,TANTO,Politeknik Jambi,D4 - Teknologi rekayasa Perangkat Lunak,"Sistem Informasi, Artificial Intelligence, System Analyst",397,136,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6869285,DIMAS PRISTOVANI RIANANDA,Politeknik Perkapalan Negeri Surabaya,D4 - Teknik Kelistrikan Kapal,"Kinematics, Artificial Intelegence, Control and System, Robotics",411,97,411,97
https://sinta.kemdiktisaintek.go.id/authors/profile/6938009,INDRA GUNAWAN,Universitas Islam Negeri Raden Intan Lampung,S1 - Pendidikan Fisika,"Sistem Informasi, Artificial Intelligence, IoT, EduTech",450,155,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/5989803,FARID MARUF,Universitas Ahmad Dahlan,S1 - Teknik Industri,"Product Design, Macroergonomics, Business Science, Design Thinking, Artificial Intelligence",552,242,447,207
https://sinta.kemdiktisaintek.go.id/authors/profile/6655419,HERY OKTAFIANDI,Universitas Satu,S1 - Sistem Informasi (Kampus Kota Palembang),"Object Oriented Progamming, Data, Artificial Intelligence, Mobile Programming",115,65,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/258793,ERFIAN JUNIANTO,Universitas Adhirajasa Reswara Sanjaya,S1 - Teknik Informatika,"Text Mining, Expert System, Software Enterprise",494,148,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6755138,MUHAMMAD BAHREIN,Universitas Pamulang,S1 - Teknik Informatika,Artificial Intelligence,166,21,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6645010,ASEP SAEPULOH,STMIK DCI,S1 - Teknik Informatika,"Sistem Informasi, Kecerdasan Buatan",51,43,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6862861,MOHAMMAD NUR CHOLIS,Universitas Insan Budi Utomo,S1 - Teknik Elektro,"Informatika, Kecerdasan Buatan, Data Mining, Text Mining",18,6,0,0
