url,nama,perguruan_tinggi,program_studi,bidang,sinta_score_overall,sinta_score_3yr,affil_score_overall,affil_score_3yr
https://sinta.kemdiktisaintek.go.id/authors/profile/6643189,ZAINAL ABIDIN,Universitas Ichsan Gorontalo,S1 - Agribisnis,Agribussines,4.114,1.032,4.116,1.032
https://sinta.kemdiktisaintek.go.id/authors/profile/5983993,EDI SANTOSA,Institut Pertanian Bogor,S3 - Agronomi Dan Hortikultura,"Plant Ecophysiology, Molecular Ecology, Indigenous vegetables, Amorphophallus species, Fruit tree production",3.762,941,216,36
https://sinta.kemdiktisaintek.go.id/authors/profile/5981677,SYIFAUL FUADA,Universitas Pendidikan Indonesia,S1 - Sistem Telekomunikasi,Electronics,7.312,1.652,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6097519,RIZQI PUTRI NOURMA BUDIARTI,Universitas Nahdlatul Ulama Surabaya,S1 - Sistem Informasi,"Information System, Machine Learning, Big Data, Artificial Intelligence, Virtual Engineering",2.235,1.122,2.235,1.122
https://sinta.kemdiktisaintek.go.id/authors/profile/5996334,BERNA ELYA,Universitas Indonesia,S2 - Herbal,Natural Products,5.482,1.082,5.482,1.082
https://sinta.kemdiktisaintek.go.id/authors/profile/6043819,ARIDA SUSILOWATI,Universitas Sumatera Utara,S1 - Kehutanan,"Forestry, Forestry",4.037,1.074,4.037,1.074
https://sinta.kemdiktisaintek.go.id/authors/profile/5979642,WIPSAR SUNU BRAMS DWANDARU,Universitas Negeri Yogyakarta,S2 - Pendidikan Fisika,"density functional theory, dynamical systems, nanomaterial",3.442,962,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/2821,DANAR PRASEPTIANGGA,Universitas Sebelas Maret,S1 - Ilmu Teknologi Pangan,"Food Science and Technology, Food Science, Biotechnology, Biopolymers, Food Chemistry",4.124,944,4.124,944
https://sinta.kemdiktisaintek.go.id/authors/profile/6706275,ANJAR DIMARA SAKTI,Institut Teknologi Bandung,S1 - Teknik Geodesi Dan Geomatika,"Remote Sensing, Spatial Data Science, Geospatial Intelligence, Environment, Energy",2.675,1.202,2.675,1.202
https://sinta.kemdiktisaintek.go.id/authors/profile/6792092,DEWI PUSPANINGTYAS FAENI,Universitas Dirgantara Marsekal Suryadarma,S2 - Manajemen,"Management, Strategic Management, HR Management, Public Management and Business, Hypnotherapy",7.572,944,7.572,944
https://sinta.kemdiktisaintek.go.id/authors/profile/6036615,MAULI,Politeknik Pertanian Negeri Pangkajene Kepulauan,D4 - Agribisnis Perikanan,Manajemen Agribisnis Perikanan,2.957,993,2.973.440.000,1.395.450.000
https://sinta.kemdiktisaintek.go.id/authors/profile/6747995,MUHAMMAD ARIS ICHWANTO,Universitas Negeri Malang,S1 - Pendidikan Teknik Bangunan,Pendidikan Teknologi dan kejuruan,3.850,948,3.850,948
https://sinta.kemdiktisaintek.go.id/authors/profile/23026,Tole Sutikno,Universitas Ahmad Dahlan,S3 - Informatika,"Internet of Things, Industrial Informatics, Mobile Systems, Smart Campus, Artificial Intelligence",11.062,2.297,10.152,1.877
https://sinta.kemdiktisaintek.go.id/authors/profile/6659601,JAKA FAJAR FATRIANSYAH,Universitas Indonesia,S2 - Manajemen Integritas Material,"Computational materials engineering, Computational materials engineering, Machine Learning, Machine Learning, Drug discovery, Drug discovery, Soft Matter, Soft Matter",2.662,1.164,2.662,1.164
https://sinta.kemdiktisaintek.go.id/authors/profile/168447,ARYUANTO,Institut Teknologi Nasional Malang,S3 - Manajemen Rekayasa,"Control system, AI, image processing, robotics",3.600,948,3.600,948
https://sinta.kemdiktisaintek.go.id/authors/profile/6792058,ARIE WAHYU WIJAYANTO,Politeknik Statistika STIS,D4 - Komputasi Statistik,"Data Science, Machine Learning, Remote Sensing, Official Statistics",1.942,928,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6729466,ARIF SABTA AJI,Badan Riset dan Inovasi Nasional,Unknown,"Gizi, Nutrigenetics, Vitamin D, Biomedicine, Maternal and Child Nutrition",2.296,922,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6664319,ANDIK ISDIANTO,Universitas Brawijaya,S1 - Ilmu Kelautan,"Coastal Management, Coastal Resilience, Social-Ecological Systems, Islamic Medicine",1.947,916,1.947,916
https://sinta.kemdiktisaintek.go.id/authors/profile/49906,SYAFRUDDIN SIDE,Universitas Negeri Makassar,S2 - Matematika,Pemodelan Matematika,3.925,920,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/5973231,R. POPPY YANIAWATI,Universitas Pasundan,S2 - Pendidikan Matematika,"E-Learning, Mathematics Education",3.128,1.125,3.128,1.125
https://sinta.kemdiktisaintek.go.id/authors/profile/6764489,PURWONO,Universitas Harapan Bangsa,S1 - Informatika,"Biomedical Computing, Health Informatics, Medical Signal Processing, Medical Image Analysis",1.687,1.017,1.687,1.017
https://sinta.kemdiktisaintek.go.id/authors/profile/5986267,ARIF HIDAYAT,Universitas Negeri Malang,S2 - Fisika,Physics,7.379,1.085,7.379,1.085
https://sinta.kemdiktisaintek.go.id/authors/profile/6007087,IWAN VANANY,Institut Teknologi Sepuluh Nopember,S3 - Teknik Industri,"Business Process Re-engineering, Food Supply Chain, Halal Operations and Supply Chain, Industrial Engineering",4.031,1.009,4.031,1.009
https://sinta.kemdiktisaintek.go.id/authors/profile/45517,TRINA EKAWATI TALLEI,Universitas Sam Ratulangi,S1 - Biologi,"Bioinformatics, Computer-aided Drug discovery, Pharmaco-informatics, Molecular genetics, DNA Barcoding",6.249,1.656,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/23060,DWI SULISWORO,Universitas Ahmad Dahlan,S3 - Pendidikan,"Internet of Things, Virtual Reality, Augmented Reality, Ubiquitous Learning",4.085,1.120,3.875,910
https://sinta.kemdiktisaintek.go.id/authors/profile/6169223,DARMAWAN HAREFA,Universitas Nias Raya,S1 - Pendidikan Matematika,"Ilmu Pendidikan, Pendidikan Matematika dan Ilmu Pengetahuan Alam, Pendidikan Fisika",7.600,1.042,13.570,365
